Id,Course,RaceDate,RaceTime,Race,Type,Class,AgeLimit,Prize,Ran,Distance,Yards,Going,Limit,WinTime,Seconds,FPos,DstBtn,TotalBtn,CardNo,HorseName,Draw,Sp,Age,Stone,Lbs,WeightLBS,Favs,Aid,Trainer,Jockey,Allow,OR,Comments
44652101,"Ayr","04/01/22 00:00:00","12/30/99 13:45:00","Ayrshire Hospice, Building The Future Novices' Handicap Hurdle (GBb Race)","h",3,"4YO plus",7897,6,"3m 70y",5350,"Good to Soft (Good in places)",135,"6m 2.07s",362.07,"1",,0,1,"City Chief",,1.375,5,11,12,166,"Fav",,"N J Henderson","James Bowen",,127,"chased leaders, went second after 6th, not fluent next, good jump to dispute lead 8th, headed next, pushed along approaching 3 out, ridden before next, led 2 out, headed last, stayed on well to lead flat, asserted final 50yds"
44652101,"Ayr","04/01/22 00:00:00","12/30/99 13:45:00","Ayrshire Hospice, Building The Future Novices' Handicap Hurdle (GBb Race)","h",3,"4YO plus",7897,6,"3m 70y",5350,"Good to Soft (Good in places)",135,"6m 2.07s",362.07,"2","¾",0.75,5,"Hidden Heroics (FR)",,8.5,5,11,0,154,,,"D Skelton","Harry Skelton",,115,"led at steady tempo, increased pace before 7th, joined 8th, led again next, pushed along 3 out, ridden before 2 out, mistake and headed 2 out, hung left but rallied well to lead again last, headed flat, kept on well"
44652101,"Ayr","04/01/22 00:00:00","12/30/99 13:45:00","Ayrshire Hospice, Building The Future Novices' Handicap Hurdle (GBb Race)","h",3,"4YO plus",7897,6,"3m 70y",5350,"Good to Soft (Good in places)",135,"6m 2.07s",362.07,"3","9",9.75,6,"Starlyte",,8.5,5,10,1,141,,"t   p","Ian Williams","C J Todd",3,105,"in rear, headway into midfield 6th, nudged along before 8th where not fluent, mistake next, soon pushed along, pecked 3 out, kept on to go third before last"
44652101,"Ayr","04/01/22 00:00:00","12/30/99 13:45:00","Ayrshire Hospice, Building The Future Novices' Handicap Hurdle (GBb Race)","h",3,"4YO plus",7897,6,"3m 70y",5350,"Good to Soft (Good in places)",135,"6m 2.07s",362.07,"4","13",22.75,4,"Half Track",,2.75,6,11,0,154,"2Fav",,"N W Alexander","B S Hughes",,115,"in touch on outer, not fluent 3rd, dropped to rear 6th, nudged along 8th, slow next, ridden 3 out, headway approaching next, plugged on one pace from 2 out"
44652101,"Ayr","04/01/22 00:00:00","12/30/99 13:45:00","Ayrshire Hospice, Building The Future Novices' Handicap Hurdle (GBb Race)","h",3,"4YO plus",7897,6,"3m 70y",5350,"Good to Soft (Good in places)",135,"6m 2.07s",362.07,"5","14",36.75,2,"Shearer",,5.5,6,11,12,166,,"p","P F Nicholls","Adrian Heskin",,127,"close up, not fluent and lost second 6th, niggled along when not fluent 3 out, soon ridden, faded 2 out"
44652101,"Ayr","04/01/22 00:00:00","12/30/99 13:45:00","Ayrshire Hospice, Building The Future Novices' Handicap Hurdle (GBb Race)","h",3,"4YO plus",7897,6,"3m 70y",5350,"Good to Soft (Good in places)",135,"6m 2.07s",362.07,"6","2",38.75,3,"Donnas Double",,25,6,11,4,158,,,"A M Thomson","Ryan Mania",,119,"in touch, slow 1st, mistake 7th, hit 9th, weakened 3 out"
44652102,"Ayr","04/01/22 00:00:00","12/30/99 14:20:00","Quiz Clothing Novices' Hurdle (GBB Race)","h",3,"4YO plus",8714,5,"2m 4f 100y",4500,"Good to Soft (Good in places)",,"5m 2.72s",302.72,"1",,0,3,"Thunder Rock",,2,6,11,12,166,"Fav",,"Olly Murphy","Adrian Heskin",,129,"held up in touch, headway going well to led approaching 2 out, pecked 2 out, went clear last, comfortably"
44652102,"Ayr","04/01/22 00:00:00","12/30/99 14:20:00","Quiz Clothing Novices' Hurdle (GBB Race)","h",3,"4YO plus",8714,5,"2m 4f 100y",4500,"Good to Soft (Good in places)",,"5m 2.72s",302.72,"2","7½",7.5,2,"Grey Skies",,3,6,11,12,166,,,"D McCain Jnr","B S Hughes",,130,"chased leaders, not fluent 2nd, went second 6th, ridden to challenge before 2 out, kept on from last, no match for winner"
44652102,"Ayr","04/01/22 00:00:00","12/30/99 14:20:00","Quiz Clothing Novices' Hurdle (GBB Race)","h",3,"4YO plus",8714,5,"2m 4f 100y",4500,"Good to Soft (Good in places)",,"5m 2.72s",302.72,"3","9",16.5,1,"Clondaw Hollow",,6.5,8,11,7,161,,"t","J C McConnell","Kieren Buckley",5,118,"led, not fluent 8th, pushed along and headed approaching 2 out, ridden before last, kept on one pace"
44652102,"Ayr","04/01/22 00:00:00","12/30/99 14:20:00","Quiz Clothing Novices' Hurdle (GBB Race)","h",3,"4YO plus",8714,5,"2m 4f 100y",4500,"Good to Soft (Good in places)",,"5m 2.72s",302.72,"4","9½",26,4,"Irish Blaze",,2.125,6,11,8,162,"2Fav",,"G Elliott","D N Russell",,,"prominent, mistake and lost second 6th, pushed along to challenge when rider lost iron and balance approaching 2 out, well held when not fluent last"
