,Id,RaceTime,Race,Type,Class,AgeLimit,Ran,Yards,TotalBtn,Sp,Age,WeightLBS,Trainer,Jockey,Going 2,HorseName2,Course2,Region2,predictions,totalbtn_rank,predictions_rank,sp_rank
51,44197107,12:05,bombardier british hopped amber beer handicap,nan,5.0,4yo plus,4.0,1773.0,0.0,3.5,5.0,133.0,t d easterby,phil dennis,standard,Perfect Swiss,southwell,eng,5.801751,1.0,1.0,3.0
690,44200113,14:40,play 4 to win at betway handicap (div 1),nan,6.0,4yo plus,11.0,2200.0,2.15,3.1999999999999993,5.0,133.0,p d evans,charles bishop,standard,Globe Theatre ,lingfield,eng,5.873928,3.0,1.0,3.0
847,44201105,14:40,play 4 to win at betway handicap,nan,6.0,4yo plus,10.0,3469.0,21.5,4.5,7.0,130.0,a a wintle,hollie doyle,standard,American Craftsman,lingfield,eng,4.8792496,10.0,1.0,3.0
1220,44203114,19:30,betway apprentice handicap,nan,4.0,4yo plus,5.0,3640.0,1.25,5.0,8.0,132.0,ian williams,thore hammer hansen,standard,Monjeni,wolverhampton,eng,7.6349077,3.0,1.0,3.0
1387,44204120,17:45,heed your hunch at betway handicap,nan,6.0,4yo plus,8.0,3622.0,66.75,3.3333329999999997,5.0,128.0,o sherwood,thomas greatrex,standard,Bayaanaat,southwell,eng,7.6869116,6.0,1.0,3.0
2322,44208107,15:50,heed your hunch at betway handicap,nan,6.0,4yo plus,10.0,2640.0,5.25,5.0,5.0,114.0,m f harris,george rooke,standard,Mi Laddo,lingfield,eng,5.720747,4.0,1.0,3.0
2409,44208119,14:35,watch racing tv in stunning hd handicap hurdle,h,3.0,4yo plus,7.0,4334.0,0.0,4.000000000000002,8.0,158.0,d skelton,harry skelton,heavy,Shannon Bridge,wetherby,eng,13.309346,1.0,1.0,3.0
2873,44210114,19:30,tote.co.uk now never beaten by sp classified stakes,nan,6.0,4yo plus,9.0,2926.0,0.2,2.75,4.0,118.0,ian williams,william carver,standard,Cool To Be A Cat ,chelmsford city,eng,5.392585,2.0,1.0,3.0
3302,44212115,14:35,bombardier handicap,nan,6.0,4yo plus,13.0,1541.0,2.75,4.000000000000002,4.0,132.0,s l keightley,josephine gordon,standard,Mayson Mount,lingfield,eng,1.5070297,2.0,1.0,3.0
3984,44215110,17:40,bombardier handicap,nan,6.0,4yo plus,10.0,1554.0,0.7,5.0,6.0,132.0,d c griffiths,phil dennis,standard,De Bruyne Horse,southwell,eng,5.720747,3.0,1.0,3.0
4501,44217106,15:00,betway median auction maiden stakes,nan,6.0,3yo to 5yo,7.0,1321.0,11.25,3.3333329999999997,3.0,124.0,adrian keatley,cieren fallon,standard,The Quiet Rebel,lingfield,eng,0.35526952,5.0,1.0,3.0
4625,44217122,19:30,betway casino handicap,nan,4.0,4yo plus,9.0,1100.0,0.0,4.5,5.0,117.0,j s goldie,oliver stammers,standard,Be Proud,newcastle,eng,3.7397776,1.0,1.0,3.0
5072,44219118,17:40,bombardier british hopped amber beer handicap,nan,4.0,4yo plus,9.0,1554.0,5.55,4.5,5.0,120.0,r g fell,tyler heard,standard,Kapono,newcastle,eng,2.1656418,6.0,1.0,3.0
5277,44221106,15:40,tote.co.uk now never beaten by sp handicap,nan,6.0,3yo only,11.0,1760.0,4.0,5.0,3.0,125.0,p f i cole,k t oneill,standard,Durabella,chelmsford city,eng,6.2927895,5.0,1.0,3.0
5317,44221111,17:45,unibet new instant roulette handicap,nan,6.0,3yo only,10.0,1319.9999999999998,4.25,5.0,3.0,133.0,b r millman,tom marquand,standard,Vitalline,kempton,eng,3.7481012,3.0,1.0,3.0
5341,44221114,19:15,unibet extra place offers every day handicap,nan,5.0,4yo plus,8.0,1540.0,8.2,5.0,4.0,128.0,d m simcock,j p spencer,standard,Morlaix,kempton,eng,0.78421694,5.0,1.0,3.0
5790,44224108,15:40,betway casino handicap (div 1),nan,6.0,4yo plus,9.0,2738.0,0.02,4.5,9.0,137.0,l a mullaney,oliver stammers,standard,Bobba Tee,newcastle,eng,6.4346313,2.0,1.0,3.0
6381,44226101,12:55,visit attheraces.com handicap hurdle,h,4.0,4yo plus,14.0,4268.0,46.75,5.0,6.0,150.0,b i case,bryan carver,soft,Dash Of Blue,doncaster,eng,7.6724286,9.0,1.0,3.0
7110,44229110,16:40,bombardier british hopped amber beer handicap,nan,6.0,4yo plus,11.0,1773.0,9.47,4.5,5.0,130.0,a g newcombe,william cox,standard,Lightning Attack,southwell,eng,6.458453,7.0,1.0,3.0
7128,44229112,17:40,betway casino handicap,nan,5.0,4yo plus,7.0,1336.0,14.0,3.3333329999999997,6.0,127.0,s dixon,jonathan fisher,standard,Samovar,southwell,eng,5.899006,6.0,1.0,3.0
7130,44229113,18:10,betway handicap,nan,2.0,4yo plus,5.0,1336.0,0.0,3.0,7.0,133.0,r a fahey,j garritty,standard,Brian The Snail,southwell,eng,1.8497163,1.0,1.0,3.0
7225,44230108,13:15,betway casino handicap,nan,5.0,4yo plus,8.0,2200.0,1.3,4.5,4.0,128.0,hugo palmer,m harley,standard,Convertible,lingfield,eng,2.3534384,3.0,1.0,3.0
7562,44231125,14:10,dick hunt handicap chase (for the dick hunt trophy),c,3.0,5yo plus,14.0,5530.0,5.0,8.0,7.0,153.0,b i case,bryan carver,heavy,Shanty Alley,wincanton,eng,2.4444485,2.0,1.0,3.0
7810,44232121,15:40,play 4 to score at betway handicap,nan,6.0,4yo plus,11.0,2200.0,20.5,7.0,6.0,132.0,j r best,r havlin,standard,Tebay,lingfield,eng,4.212473,8.0,1.0,3.0
7819,44232122,16:15,betway casino handicap,nan,5.0,4yo plus,11.0,2242.0,9.45,5.499999999999998,4.0,133.0,p w chapple-hyam,j fanning,standard,Union Spirit,newcastle,eng,5.3007345,8.0,1.0,3.0
7844,44232125,17:45,ladbrokes where the nation plays novice stakes,nan,5.0,3yo only,7.0,1554.0,2.0,3.0,3.0,126.0,k r burke,c lee,standard,Lead Story,newcastle,eng,4.263116,2.0,1.0,3.0
7997,44233104,17:55,join racing tv now handicap (div 2),nan,6.0,4yo plus,9.0,1760.0,3.67,5.0,6.0,133.0,m appleby,tom marquand,standard,Cashel,kempton,eng,2.448598,4.0,1.0,3.0
8333,44234111,15:05,bombardier handicap,nan,4.0,4yo plus,5.0,1773.0,0.05,2.75,5.0,132.0,antony brittain,cam hardie,standard,Daafr,southwell,eng,5.7395525,2.0,1.0,3.0
8339,44234112,15:35,"bombardier ""march to your own drum"" handicap",nan,6.0,4yo plus,8.0,1554.0,0.7,4.000000000000002,6.0,132.0,d c griffiths,phil dennis,standard,De Bruyne Horse,southwell,eng,6.5974655,3.0,1.0,3.0
9206,44240107,15:10,betway casino handicap,nan,5.0,4yo plus,10.0,2200.0,8.3,3.5,5.0,129.0,c a dwyer,darragh keenan,standard,Capla Crusader,lingfield,eng,4.0729666,6.0,1.0,3.0
9273,44240116,20:15,betway heed your hunch handicap,nan,5.0,4yo plus,7.0,2691.0,6.65,4.000000000000002,4.0,122.0,s drinkwater,george rooke,standard,Flight Command,wolverhampton,eng,1.5556728,5.0,1.0,3.0
9979,44243121,16:25,unibet 3 uniboosts a day handicap,nan,4.0,4yo plus,6.0,3518.0,6.0,3.5,7.0,125.0,a king,m harley,standard,Kozier ,kempton,eng,4.710824,4.0,1.0,3.0
10306,44244131,16:50,heed your hunch at betway handicap (div 2),nan,6.0,4yo plus,8.0,1340.0,5.2,4.5,7.0,125.0,mrs r carr,j p sullivan,standard,Suwaan,wolverhampton,eng,2.8432503,3.0,1.0,3.0
10511,44245113,15:23,download the star sports app handicap chase,c,4.0,5yo plus,9.0,4755.0,26.75,5.0,7.0,154.0,robert walford,bryan carver,heavy,Acaro ,fontwell,eng,10.4437,4.0,1.0,3.0
11065,44247123,16:20,#betyourway at betway handicap,nan,5.0,4yo plus,12.0,2738.0,11.07,5.0,9.0,133.0,l a mullaney,oliver stammers,standard,Bobba Tee,newcastle,eng,7.002068,7.0,1.0,3.0
11684,44250102,17:10,betway novice stakes,nan,5.0,4yo plus,9.0,2242.0,7.15,4.5,4.0,131.0,r hannon,rossa ryan,standard,Makeen,newcastle,eng,5.16537,8.0,1.0,3.0
11935,44251112,18:45,unibet casino deposit £10 get £40 bonus maiden stakes,nan,5.0,3yo plus,11.0,2639.0,4.5,5.0,8.0,140.0,n j gifford,a kirby,standard,Didtheyleaveuoutto,kempton,eng,4.80857,5.0,1.0,3.0
12399,44253109,13:10,betway casino handicap,nan,6.0,4yo plus,13.0,2640.0,0.05,5.499999999999998,6.0,131.0,j e long,george rooke,standard,Libbretta,lingfield,eng,6.1027365,2.0,1.0,3.0
12540,44253126,17:45,play 4 to win at betway handicap,nan,4.0,4yo plus,9.0,1576.0,3.0,4.5,7.0,122.0,g a harker,s h james,standard,Eldelbar ,wolverhampton,eng,1.8781282,3.0,1.0,3.0
